No of dam,WARMS Dam ID,Name of dam,Water management area,Quaternary Drainage Area,Latitude deg,Lat min,Lat sec,Longitude deg,Long min,Long sec,Town nearest,Distance from Town,Name of farm,Municipal District,Province code,Region Code,Completion date,Completion date raised,River or Watercourse,Wall type,Wall height,Crest Length (m),Spillway Type,Capacity (1000 cub m),Surface area (ha),Catchment area (sq km)),Purpose,Owner Name,Designer,Contractor,Registration date,Size,Hazard Potential,Category,Classification date,Sector,Date Last DSI,Number Last DSI,Target date
A100/02,2016,NGOTWANE DAM,1,A10A,25,11,54,25,48,48,LOBATLENG,3,MOILWAS 900 JO,JO,NORTH WEST,NORTH WEST,,,NGOTWANE,EARTHFILL,19,290,SIDE CHANNEL,18800,390,518,IRRIGATION,DEPT. OF WATER & SANITATION,EKSTEEN Van Der WALT & NISSEN,UNKNOWN,5/1/1995,Medium,Significant,2,7/1/1991,W,12/8/2009,3,
A210/01,2019,ROODEKOPJES DAM,1,A21K,25,24,24,27,34,39,BRITS,31,"ROODEKOPJES 203, BEESTEKRAAL JQ",BRITS,NORTH WEST,NORTH WEST,1986,,KROKODIL,EARTHFILL & GRAVITY,25,3910,CONTROLLED OGEE WITH RADIAL GATES,103000,1571,6120,"IRRIGATION, DOMESTIC AND INDUSTRIAL USE",DEPT. OF WATER & SANITATION,STATE (DWA),STATE (DWA),1/6/1987,Medium,High,3,4/12/1989,W,2/9/2011,3,
A210/02,2076,HARTBEESPOORT DAM,1,A21H,25,43,32.3,27,50,54.1,BRITS,9.5,HARTEBEESFONTEIN,BRITS,GAUTENG,NORTH WEST,1923,1969,CROCODILE,ARCH,59,140,GATED SIDE CHANNEL,195000,2062.8,4120,"IRRIGATION,DOMESTIC AND INDUSTRIAL USE",DEPT. OF WATER & SANITATION,STATE (DWAF),STATE (DWAF),12/31/1986,Large,High,3,1/3/1989,W,3/26/2014,4,
A210/03,2121,BUFFELSPOORT DAM,1,A21K,25,46,49.5,27,29,14.5,RUSTENBURG,26,BUFFELSPOORT 343 JQ,RUSTENBURG,NORTH WEST,NORTH WEST,1937,1967,STERKSTROOM,ARCH,31,166.56,OGEE,10330,135.7,114,IRRIGATION AND INDUSTRIAL USE,DEPT. OF WATER & SANITATION,DWA,DWA,1/6/1987,Large,High,3,11/18/1987,W,8/15/2011,4,
A211/42,,KNOPJESLAAGTE DAM 3,3,A21B,25,55,9,28,3,38,VERWOERDBURG,12,KNOPJESLAAGTE 385 JR PORTION 179,JR,GAUTENG,NORTH WEST,1983,,SWARTBOOI SPRUIT,EARTHFILL,8,210,SIDE CHANNEL SPILLWAY,142,5,,IRRIGATION,BELLE LUCIA (EDMS.) BPK.,OWNER,OWNER,4/1/1987,Small,Significant,2,1/21/2010,A,,0,
A211/43,,NORTH DAM (prevoiusly DOW CHLOORKOP NORTH DAM),3,A21B,26,2,27,28,11,29,KEMTON PARK,3,MOOIFONTEIN 14 PORTIONS 48 & 49,KEMPTON PARK,GAUTENG,NORTH WEST,2013,1991,TEMBISA SPRUIT,CONCRETE BUTTRESS,12,333,CONCRETE SHARP CRESTED WEIR,245,10,10.4,POLLUTION CONTROL,NCP CHLORCHEM (PTY) LTD,DWA,UNKNOWN,10/31/1986,Medium,High,3,3/1/2001,O,11/25/2009,3,1/31/2018
A211/44,,SOUTH DAM (previously DOW CHLOORKOP SOUTH DAM),3,A21B,26,2,53,28,11,35,KEMPTON PARK,3,MOOIFONTEIN 14 PORTIONS 48 & 49,KEMPTON PARK,GAUTENG,NORTH WEST,2013,2004,TEMBISA SPRUIT,BUTTRESS & EARTHFILL,10.1,272,CONCRETE SHARP CRESTED WEIR,124,5,7.3,POLLUTION CONTROL,NCP CHLORCHEM (PTY) LTD,DWA,UNKNOWN,10/31/1986,Small,High,2,1/18/1989,O,11/25/2010,3,
A211/46,,OLIFANTSPRUIT-ONDERSTE DAM,3,A21B,25,56,18.1,28,12,11.1,OLIFANTSFONTEIN,2,OLIFANTSFONTEIN 410 PTN. 7,JR,GAUTENG,NORTH WEST,1970,,OLIFANT SPRUIT,EARTHFILL,7,285,OPEN CHANNEL,220,10,20.5,IRRIGATION,SUMMER SYMPHONY 264 cc,LA GRANGE L. DR.,ELLIS J.,8/28/1987,Small,Significant,2,7/21/1994,A,9/11/2014,2,6/17/2020
A211/47,0,OLIFANTSPRUIT-BOONSTE DAM,1,A21B,25,56,40.7,28,11,24.6,OLIFANTSFONTEIN,3,OLIFANTSFONTEIN 410 PTN 15,JR,LIMPOPO,LIMPOPO,1970,,OLIFANTS\ SPRUIT,EARTHFILL,11,325,OPEN CHANNEL,450,12,0,IRRIGATION,SUMMER SYMPHONY PROP 264 cc,,,8/28/1987,Small,Significant,2,7/21/1994,A,2/28/2007,2,6/30/2016
A211/49,531,LEWIS,3,A21B,25,53,37.3,28,2,12.7,VERWOERDBURG,17,KNOPJESLAAGTE 385 JR,JR,GAUTENG,NORTH WEST,1992,,SWARTBOOI SPRUIT,EARTHFILL,6,350,OPEN CHANNEL,69,5,,IRRIGATION,LEWIS A.C.J.H.,OWNER,OWNER,8/5/1992,Small,Low,1,11/3/1992,A,,0,7/31/2010
A211/51,,BRAKFONTEIN RESERVOIR,1,A21B,25,55,29,28,9,40,CENTURION,8,BRAKFONTEIN 390 JR PORTION 12,JR,GAUTENG,NORTH WEST,1999,,,REINFORCED CONCRETE RESERVOIR,8.83,0,,423,0,,POTABLE WATER SUPPLY,RAND WATER,RAND WATER,WILSON BAYLY HOLMES-WBHO [PTY] LTD,4/11/2000,Small,Significant,2,6/28/1996,B,6/5/2007,1,
A211/52,,KLIPFONTEIN NO1 RESERVOIR,1,A21B,26,4,43,28,11,14,KEMPTON PARK,6,PORTION 80 OF KLIPFONTEIN 12-IRS,KEMPTON PARK,GAUTENG,NORTH WEST,1968,,-,REINFORCED CONCRETE RESERVOIR,5.85,562,OVERFLOW PIPE,199,2,,MUNICIPAL USE & INDUSTRIAL USE,RAND WATER,RAND WATER,DORBYL GROUPS PROJECT,10/11/1996,Small,Significant,2,4/29/1997,B,7/4/2008,1,3/31/2014
A211/53,,KLIPFONTEIN NO2 RESERVOIR,1,A21B,26,4,44,28,11,16,KEMPTON PARK,6,PORTION 80 OF KLIPFONEIN 12-IR,KEMPTON PARK,GAUTENG,NORTH WEST,1989,,-,REINFORCED CONCRETE RESERVOIR,6.5,650,OVERFLOW PIPE,259,2,,MUNICIPAL USE & INDUSTRIAL USE,RAND WATER,RAND WATER,GILLIS MASON CONSTRUCTION CO,10/11/1996,Small,Significant,2,4/29/1997,B,11/30/2014,3,11/30/2019
A211/54,,CENTURION SILT DAM,1,A21B,25,52,34,28,10,56,CENTURION,3,HIGHVELD TECHNOPARK ERF 5,PRETORIA,GAUTENG,NORTH WEST,1999,,,EARTHFILL,7,630,INFORMATION NOT AVAILABLE,120,2,,INFORMATION NOT AVAILABLE,TSHWANE METROPOLITAN MUNICIPALITY,J.A. WATES,HTC CONSTRUCTION,4/15/1999,Small,Significant,2,1/29/2015,M,,0,2/29/2016
A211/57,,ESKOM  CONVENTION CENTRE DAM,1,A21B,25,59,23.7,28,10,8.6,JOHANNESBURG/ MIDRAND,10,KAALFONTEIN 13,IR,GAUTENG,NORTH WEST,,,KAALSPRUIT TRIBUTARY,EARTHFILL,7.8,236,CONCRETE CHUTE,80,1.71,1.59,MUNICIPAL AND INDUSTRIAL USE,ESKOM: INFRASTRUCTURE DESIGN,UNKNOWN,UNKNOWN,5/24/2010,Small,Significant,2,1/26/2007,O,7/2/2010,1,5/31/2016
A211/58,1221,RIETVLEI DAM  (was A210/05),1,A21B,25,52,35.6,28,15,54.7,PRETORIA,18,RIETVALLEI 377 JR,JR,GAUTENG,NORTH WEST,1934,1989,HENNOPS,EARTHFILL,32,350,SIDE CHANNEL,12100,187,479,MUNICIPAL USE & INDUSTRIAL USE,TSHWANE METROPOLITAN MUNICIPALITY (PRETORIA),PRETORIA-MUNISIPALITEIT,E.S. MOORE,10/22/1986,Large,High,3,11/19/1986,M,10/18/2012,4,
A211/59,2781,AALWYNE DAM,1,A21A,25,59,39,28,25,20,BAPSFONTEIN,1,TWEEFONTEIN 413 PTN 70,EKURHULENI,GAUTENG,NORTH WEST,1944,,RIETVLEI RIVER TR,EARTHFILL,6.1,140,OPEN CHANNEL,132,7.1,0,STOCK WATERING & RECREATION,COUNTRY MUSHROOM ESTATE,,,7/4/2011,Small,Low,1,7/4/2011,A,,0,
A211/60,0,RIETSPRUIT DAM (FAILED IN 2014),1,A21B,25,55,18.2,28,7,2,CENTURION,8.6,OLIEVENHOUTBOSCH 389 JR,JR,GAUTENG,NORTH WEST,,,RIETSPRUIT,EARTHFILL/ ROCKFILL WITH CONCRETE CAPPING,7,170,OVERFLOW,51,3.4,40.5,INDUSTRIAL USE,RAUMIX AGGREGATES (PTY)LTD,,,1/30/2012,Small,Significant,2,7/17/2013,O,7/29/2013,1,
A212/40,,BRUMA LAKE DAM,1,A21C,26,10,43,28,6,29,JOHANNESBURG,10,DOORNFONTEIN 92 IR (BRUMA),JOHANNESBURG,GAUTENG,NORTH WEST,1987,,JUKSKEI RIVER,CONCRETE,9.9,240,LABYRINTH,120,5,16.1,RECREATION,METRO  ADMINISTRATION,BRINK J. (BKS INC.),LTA CONSTRUCTION (PTY)LTD,9/23/1987,Small,Significant,2,11/4/1986,O,6/28/2013,2,
A212/41,,EMMARENTIA DAM,1,A21C,26,9,1,28,0,21,JOHANNESBURG,0,EMMARENTIA 32,JOHANNESBURG,GAUTENG,NORTH WEST,1912,,BRAAMFONTEIN SPRUIT TR.,EARTHFILL,11,370,OPEN CHANNEL,250,9,7.15,RECREATION,JOHANNESBURG METROPOLITAN MUNICIPALITY,WLPU,EIGENBAU (PTY) LTD,9/12/1989,Small,High,2,1/6/1988,M,6/3/2009,3,4/29/2016
A212/45,,RANDJIESLAAGTE RESERVOIR,1,A21C,26,8,30,28,5,30,JOHANNESBURG,1,NORTHVIEW 57 IR,JOHANNESBURG,GAUTENG,NORTH WEST,1976,,-,REINFORCED CONCRETE RESERVOIR,7.7,270,NO SPILLWAY,91,1,,MUNICIPAL USE & INDUSTRIAL USE,JOHANNESBURG METROPOLITAN MUNICIPALITY,LILLICRAP WASSENAAR & PART.,GILLIS-MASON CONSTRUCTION,3/12/1987,Small,Significant,2,12/27/1989,M,4/17/2012,2,
A212/46,,WESTDENE DAM,1,A21C,26,10,45,27,59,29,JOHANNESBURG,5,BRAAMFONTEIN 53 IR,KRUGERSDORP,GAUTENG,NORTH WEST,1933,,WESTDENE SPRUIT,EARTHFILL,8,216,PIPES,152,7.7,2.4,RECREATION,JOHANNESBURG METROPOLITAN MUNICIPALITY,UNKNOWN,UNKNOWN,3/20/1987,Small,Significant,2,1/5/1994,M,4/7/2009,3,4/29/2016
A212/48,,NORTHERN WORKS DAM NO.1,1,A21C,25,56,49,27,59,25.4,JOHANNESBURG,47,DIEPSLOOT 388 IR,JOHANNESBURG,GAUTENG,NORTH WEST,0,,JUKSKEI RIVER TR.,EARTHFILL,10.9,190,SIDE CHANNEL,90,2,1.15,POLLUTION CONTROL,JOHANNESBURG METROPOLITAN MUNICIPALITY,UNKNOWN,UNKNOWN,3/12/1987,Small,Significant,2,12/27/1989,M,3/13/2012,2,
A212/49,,NORTHERN WORKS DAM NO.2,1,A21C,25,57,4.3,27,59,18.6,JOHANNESBURG,47,DIEPSLOOT 388 IR,JOHANNESBURG,GAUTENG,NORTH WEST,1970,1992,JUKSKEI RIVER TR.,EARTHFILL,13,280,OPEN CHANNEL,143,3,1.53,POLLUTION CONTROL,JOHANNESBURG METROPOLITAN MUNICIPALITY,WLPU,GILLIS MASON CONSTRUCTION,3/12/1987,Medium,Significant,2,12/27/1989,M,3/13/2012,3,
A212/50,,NORTHERN FARM DAM P1,1,A21C,25,55,45,27,58,50,JOHANNESBURG,49,RIETFONTEIN 352 JQ,JOHANNESBURG,GAUTENG,NORTH WEST,1970,,JUKSKEI RIVER TR.,EARTHFILL,7,430,OPEN CHANNEL,118,3,0.45,POLLUTION CONTROL,JOHANNESBURG METROPOLITAN MUNICIPALITY,UNKNOWN,UNKNOWN,3/12/1987,Small,Significant,2,1/13/2009,M,3/13/2012,1,
A212/51,,NORTHERN FARM DAM P2,1,A21C,25,55,38,27,58,50,JOHANNESBURG,30,RIETFONTEIN 352 JQ,JOHANNESBURG,GAUTENG,NORTH WEST,,,JUKSKEI RIVER TR.,EARTHFILL,9,420,OPEN CHANNEL,145,5,0.61,POLLUTION CONTROL,JOHANNESBURG METROPOLITAN MUNICIPALITY,UNKNOWN,UNKNOWN,3/12/1987,Small,Significant,2,1/13/2009,M,3/13/2012,1,
A212/52,,NORTHERN FARM DAM P4,1,A21C,25,55,9.7,27,58,25.2,JOHANNESBURG,49,RIETFONTEIN 352 JQ,JOHANNESBURG,GAUTENG,NORTH WEST,1948,,JUKSKEI RIVER TR.,EARTHFILL,10,220,OPEN CHANNEL,85,6.79,7.13,POLLUTION CONTROL,JOHANNESBURG METROPOLITAN MUNICIPALITY,UNKNOWN,UNKNOWN,3/12/1987,Small,Significant,2,12/31/1990,M,3/13/2012,2,
A212/53,,NORTHERN FARM DAM P5,1,A21C,25,54,51.9,27,57,59.3,JOHANNESBURG,49,RIETFONTEIN 352 JQ,CENTURION,GAUTENG,NORTH WEST,1948,,JUKSKEI RIVER TR.,EARTHFILL,7,336,OPEN CHANNEL,130,8.1,9.89,POLLUTION CONTROL,JOHANNESBURG METROPOLITAN MUNICIPALITY,UNKNOWN,UNKNOWN,3/12/1987,Small,Significant,2,12/31/1990,M,3/13/2012,2,
A212/56,,MODDERFONTEIN FACTORY DAM NO. 1,1,A21C,26,5,50.5,28,9,7,MODDERFONTEIN,0,MODDERFONTEIN 35 IR REM.,KEMPTON PARK,GAUTENG,NORTH WEST,1894,1994,MODDERFONTEIN SPRUIT,EARTHFILL,12.06,274,BROAD CRESTED CONCRETE WEIR,555,14.4,22.9,POLLUTION CONTROL,HEARTLAND PROPERTIES,AE&CI,UNKNOWN,11/14/1986,Medium,Significant,2,7/18/1990,O,11/29/2011,4,
A212/58,906,MODDERFONTEIN FACTORY DAM NO. 3,1,A21C,26,4,24.3,28,8,9.1,MODDERFONTEIN,3,KLIPFONTEIN 12 IR,KEMPTON PARK,GAUTENG,NORTH WEST,1913,1936,MODDERFONTEIN SPRUIT,EARTHFILL,11.1,267,BROAD CRESTED WEIR,290,13.25,45.9,POLLUTION CONTROL - not sure if this is correct anymore,AECI REAL ESTATE,UNKNOWN,UNKNOWN,11/14/1986,Small,Significant,2,7/18/1990,O,11/29/2011,4,
A212/59,891,MODDERFONTEIN FACTORY DAM NO. 4,1,A21C,26,3,31,28,7,24.7,MODDERFONTEIN,5,KLIPFONTEIN 12 IR,KEMPTON PARK,GAUTENG,NORTH WEST,1936,1953,MODDERFONTEIN SPRUIT,EARTHFILL,10.08,330,OPEN CHANNEL,571,17.5,49.2,POLLUTION CONTROL,AECI REAL ESTATE,F.E. KANTHACK AND PARTNERS,ROBERTS CONSTRUCTION,11/14/1986,Small,Significant,2,7/18/1990,O,11/29/2011,4,
A212/61,,LEEUKOP-KORF DAM,1,A21C,26,0,34,28,2,57,BRYANSTON,6,RIETFONTEIN 2 IR,JOHANNESBURG,GAUTENG,NORTH WEST,1974,,JUKSKEI RIVER TR.,EARTHFILL,6,210,OPEN CHANNEL,250,4,,IRRIGATION,DEPARTMENT OF PUBLIC WORKS,UNKNOWN,UNKNOWN,4/19/1988,Small,Significant,2,3/17/2005,S,9/18/2006,1,11/30/2015
A212/62,,LEEUKOP-SKILPAD DAM,1,A21C,26,0,15.8,28,3,4.9,BRYANSTON,6,RIETFONTEIN 2 IR,BRYANSTON,GAUTENG,NORTH WEST,1974,,JUKSKEI RIVER TR.,EARTHFILL,10,260,NON CONTROLLED PIPE CULVERT SPILLWAY,165,5,,IRRIGATION,DEPARTMENT OF PUBLIC WORKS,UNKNOWN,UNKNOWN,4/19/1988,Small,Significant,2,12/8/1988,S,9/18/2006,1,11/30/2015
A212/63,,RIETFONTEIN DAM,1,A21C,26,8,39.17,28,7,59.58,EDENVALE,3,RIETFONTEIN 61 IR,,GAUTENG,NORTH WEST,1975,,JUKSKEI RIVER TR.,EARTHFILL,9,250,INFORMATION NOT AVAILABLE,58,20,,RECREATION,JOBURG METROPOLITAN MUNICIPALITY,UNKNOWN,UNKNOWN,5/26/1989,Small,Low,1,9/29/1989,M,,0,1/29/2010
A212/65,,DOORN RANDJIES DAM,1,A21C,25,54,2,27,59,49,PRETORIA,18,DOORNRANDJE 386 JR,,GAUTENG,NORTH WEST,1990,,JUKSKEI RIVER TR.,EARTHFILL,8.5,259,OPEN CHANNEL,102,4,,INFORMATION NOT AVAILABLE,PRETORIA PORTLAND CEMENT CO. LTD.,OWNER,UNKNOWN,7/23/1990,Small,Low,1,8/13/1990,A,,0,
A212/68,,GOLDEN HARVEST DAM,1,A21C,26,4,16,27,57,20,RANDBURG,8,GOLDEN HARVEST AGRIC HLDGS & HUNTERS HILL AGRIC HLDGS,RANDBURG,GAUTENG,NORTH WEST,1992,,PAMPOEN SPRUIT TR.,EARTHFILL,14,140,OGEE,129,3.96,3.59,RECREATION,JOHANNESBURG METROPOLITAN MUNICIPALITY,NINHAM SHAND (TRANSVAAL) INC,GRANT SMITH CONSTR (PTY) LTD,4/4/1993,Medium,Significant,2,12/19/1991,M,1/27/2011,3,
A213/49,,EEUFEES DAM,1,A21D,26,6,14.9,27,47,7.9,KRUGERSDORP,0,PAARDEPLAATS 177 I.Q.,WESTRAND (MOGALE CITY),GAUTENG,NORTH WEST,1988,,CROCODILE RIVER,EARTHFILL,5.7,300,OPEN SIDE CHANNEL,400,12,5.5,RECREATION,MOGALE  CITY  MUNICIPALITY,MUNICIPALITY KRUGERSDORP,STADSRAAD KRUGERSDORP,5/20/1991,Small,High,2,2/17/1989,M,10/14/2015,1,10/15/2020
A213/51,,ROODEPOORT SPORTKOMPLEKS LAKE/MEER,1,A21E,26,4,12,27,52,5,ROODEPOORT,20,ROODEKRANS 183 IQ PORTION 77,ROODEPOORT,GAUTENG,NORTH WEST,1994,,WILGE SPRUIT TR.,EARTHFILL,11,600,OPEN CHANNEL,149,7,5.6,RECREATION,JOHANNESBURG METROPOLITAN MUNICIPALITY,BADENHORST B.D.,PROP CIVILS (PTY) LTD.,4/18/1995,Small,Significant,2,11/25/1992,M,3/3/2011,1,
A213/52,,HIPPO DAM,1,A21D,26,1,23,27,46,59,KRUGERSDORP,15,HONINGKLIP 178 PTN 223,IQ,GAUTENG,NORTH WEST,1960,,BLOUBANK SPRUIT,EARTHFILL,8,100,OPEN CHANNEL,119,4,27,RECREATION,LETAMO GAME FARM (PTY) LTD.,DEPT. OF AGRICULTURE,OWNER/BUILDER-MR J.F. DREYER,3/8/1993,Small,Significant,2,10/5/2004,A,7/29/2009,1,10/30/2015
A213/53,,LAURENTIA DAM,1,A21D,26,2,39,27,47,16,KRUGERSDORP,15,HONINGKLIP 178 IQ,KRUGERSDORP,GAUTENG,NORTH WEST,1945,,BLOUBANKSPRUIT,EARTHFILL,13,250,OPEN CHANNEL,155,0,20.7,IRRIGATION,LOUW GELDENHUYS INVESTMENTS PTY LTD,LOUW GELDENHUYS,LOUW GELDENHUYS,11/10/1993,Medium,Significant,2,8/5/2009,A,9/21/2010,1,
A213/55,,KRUGERSDORP NO4 RESERVOIR,1,A21D,26,6,39,27,48,36,KRUGERSDORP,5,PTN. 283 PAARDEPLAATS 177-IQ,,GAUTENG,NORTH WEST,1987,,-,REINFORCED CONCRETE RESERVOIR,6,0,INFORMATION NOT AVAILABLE,112,1,0,MUNICIPAL USE & INDUSTRIAL USE,RAND WATER,RAND WATER,RAND WATER,10/11/1996,Small,Significant,2,4/29/1997,B,12/3/2007,1,
A213/56,,LINDLEY,1,A21E,25,54,50.84,27,53,17.6,KRUGERSDORP,30,PTN 71 LINDLEY 528 JQ,KRUGERSDORP,GAUTENG,NORTH WEST,1950,,KROKODIL RIVER TRB.,EARTHFILL,9,170,SIDE CHANNEL,80,3,,IRRIGATION,FRISARCO TRUST,OWNER,OWNER,1/10/1997,Small,Low,1,4/29/1997,A,,0,
A213/58,,LAKE HERITAGE DAM (ALOE COVE DAM),1,A21E,25,57,27.2,27,51,27.2,KRUGERSDORP,20,PTN 62 & 64 ZWARTKOP 525 JQ,KRUGERSDORP,GAUTENG,NORTH WEST,2005,,CROCODILE RIVER TR.,MULTI-ARCH,19.3,350,OGEE (OVERFLOW),1350,30,538,RECREATION & TOURISM DEVELOPMENT,HEIA SAFARI LODGE (PTY) LTD.,DR Q.H.W SHAW,PARTIKON,1/30/2006,Medium,High,3,11/23/1999,O,11/30/2011,1,
A213/60,,WATERSTONE DAM  (previously MISTY HILLS DAM),1,A21E,26,2,4,27,51,14,KRUGERSDORP,12,RIETVLEI 189 IQ,KRUGERSDORP,GAUTENG,NORTH WEST,2000,,WILGESPRUIT,EARTHFILL,7,120,BROAD CRESTED,66,3.06,74.3,IRRIGATION,RECREATION AFRICA GROUP,UNKNOWN,UNKNOWN,3/2/2001,Small,Significant,2,3/13/2001,A,9/15/2009,2,
A213/61,1656,EAGLE CANYON DAM N0.5,1,A21E,26,5,14,27,54,40,ROODEPOORT,10,FARM NO 190 IQ,RANDBURG,GAUTENG,NORTH WEST,0,2006,WILGESPRUIT,EARTHFILL,10.5,218,STEPPED GABION,80,5.64,5.6,IRRIGATION & RECREATION,EAGLE CANYON GOLF ESTATE (PTY) LTD,UNKNOWN,UNKNOWN,4/1/2003,Small,Significant,2,4/1/2003,A,9/19/2011,2,
A213/62,,CROCODILE CREEK POLO ESTATE,1,A21E,25,57,12,27,54,16,KRUGERSDORP,25,PORTION 18 OF FARM BOTESDAL 529 JQ,,GAUTENG,NORTH WEST,0,,KROKODIL TR,EARTHFILL,8.5,460,SIDE CHANNEL SPILLWAY,56,2,,IRRIGATION,SNOWVILLE INVESTMENTS (PTY) LTD.,UNKNOWN,UNKNOWN,12/9/2003,Small,Low,1,1/6/2004,A,,0,
A214/44,,UITKOMST DAM,1,A21G,25,53,58,27,44,59,BROEDERSTROOM,20,UITKOMST 499 JQ,RANDBURG,GAUTENG,NORTH WEST,2004,,SKEERPOORT RIVER,EARTHFILL,11.6,0,INFORMATION NOT AVAILABLE,110,0,50,INFORMATION NOT AVAILABLE,NASCOTT GAME PARK (PTY) LTD,Q SHAW,,10/25/2013,Small,Low,1,9/23/1999,O,,0,
A215/47,,MIDDELKRAAL DAM,1,A21K,25,41,31,27,32,29.9,RUSTENBURG,20,MIDDELKRAAL 466 JQ,RUSTENBURG,NORTH WEST,NORTH WEST,1967,,MARETLWANE RIVER,EARTHFILL,8,580,OPEN CHANNEL,757,30,,IRRIGATION,DEPT. OF WATER & SANITATION,UNKNOWN,UNKNOWN,4/22/1988,Small,Significant,2,12/27/1989,W,,0,1/31/2016
A215/51,,BARNARDSVLEI RESERVOIR,1,A21K,25,46,24,27,30,51,RUSTENBURG,34,BUFFELSPOORT PORTION 44,,GAUTENG,NORTH WEST,1992,,,REINFORCED CONCRETE RESERVOIR,9,0,INFORMATION NOT AVAILABLE,96,1,0,MUNICIPAL USE & INDUSTRIAL USE,RAND WATER,RAND WATER,RAND WATER,10/11/1996,Small,Significant,2,11/6/2001,B,12/10/2007,1,
A215/52,1146,KAREE PLANT RETURN WATER DAM 1,1,A21K,25,40,22.8,27,27,43.2,MARIKANA,3,"PORTIONS 158,156,155,154,153 REM EXT RE151 RE150 ROOIKOPPIES",RUSTENBURG,NORTH WEST,NORTH WEST,2001,,BRAKSPRUIT,EARTHFILL,5.5,1163,OPEN CHANNEL,428,28,2.5,POLLUTION CONTROL,WESTERN PLATINUM LIMITED,METAGO ENVIRONMENTAL ENG.,FRASER ALEXANDER CONSTRUCTION,8/13/2001,Small,Significant,2,8/28/2000,O,6/24/2013,2,10/30/2018
A215/53,2316,HOEDSPRUIT RETURN WATER DAM,1,A21K,25,40,18.3,27,25,35,RUSTENBURG,15,HOEDSPRUIT 298 JQ,RUSTENBURG,NORTH WEST,NORTH WEST,2003,,HOEDSPRUIT,EARTHFILL,7.8,1130,BROAD CRESTED WEIR,495,23.7,50.5,POLLUTION CONTROL,RUSTENBURG PLATINUM MINES LTD,UNKNOWN,UNKNOWN,3/6/2003,Small,Significant,2,4/17/2003,O,6/21/2012,2,6/21/2017
A215/61,1176,EASTERN PLATINUM MINE RETURN WATER DAM,1,A21J,25,40,51,27,36,35,BRITS,17,TURFFONTEIN 462 JQ,BRITS,NORTH WEST,NORTH WEST,1989,,DECANTED WATER,EARTHFILL,6,680,OPEN CHANNEL,250,9,1.491,POLLUTION CONTROL,EASTERN PLATINUM LTD.,TAILINGS DESIGN MANAGEMANT SERVICES,FRASER ALEXANDER CONSTRUCTION,5/20/2004,Small,Significant,2,3/17/2005,O,6/8/2010,2,
A215/65,,MARIKANA RETURN WATER DAM,1,A21K,25,43,50,27,25,19,MARIKANA,15,SPRUITFONTEIN 341 JQ,RUSTENBURG,NORTH WEST,NORTH WEST,,2006,BRAKSPRUIT,EARTHFILL,5.4,868,,179,9,,RETURN WATER FROM TAILINGS DAM,AQUARIUS  MARIKANA PLATINUM,UNKNOWN,UNKNOWN,3/29/2006,Small,Significant,2,3/28/2006,O,12/13/2011,1,
A215/66,0,SCHAAPKRAAL DAM (FANUS BOTHA DAM),1,A21K,25,37,16,27,30,42,MARIKANA,9,PTN 5 & 8 SCHAAPKRAAL 292 JQ,JQ,NORTH WEST,NORTH WEST,,,MARETWANE,EARTHFILL,8,320,OPEN CHANNEL,830,0,0,IRRIGATION,DEPARTMENT OF RURAL DEVELOPMENT AND LAND REFORM,,,9/13/2010,Small,Low,1,1/18/2013,A,,0,
A216/01,,ROOIKOPPIES STU DAM,1,A21J,25,38,45.36,27,47,0.63,BRITS,2,KROKODILDRIFT 446 JQ,BRITS,NORTH WEST,NORTH WEST,1990,,KROKODIL,EARTHFILL,8,150,OGEE,700,99,,MUNICIPAL USE & INDUSTRIAL USE,DEPT. OF WATER & SANITATION,OWNER,OWNER,1/16/1991,Small,Low,1,8/22/1989,W,,0,1/29/2010
A216/43,1026,KLEINFONTEIN DAM,1,A21J,25,30,24.76,27,44,2.37,BRITS,15,HARTBEESPOORT C 419 JQ PTN. 365,BRITS,NORTH WEST,NORTH WEST,1995,,KROKODIL RIVER TR.,EARTHFILL,9,140,OPEN CHANNEL,55,2,,IRRIGATION,WERNER C.B.H.,SCHOEMAN EN VAN DER MERWE,UNKNOWN,11/24/1995,Small,Low,1,8/4/1995,A,,0,
A216/44,,KLEINFONTEIN BALANCING DAM,1,A21J,25,29,36.1,27,44,19.9,BRITS,15,HARTEBEESPOORT 419-JQ,JQ,NORTH WEST,NORTH WEST,0,,RAMOGATLE RIVER,EARTHFILL,7,0,OPEN CHANNEL,120,0,,IRRIGATION,DEPT. OF WATER & SANITATION,DWW & B,ONBEKEND`,7/22/1998,Small,Low,1,7/30/1998,W,,0,7/30/2010
A216/46,1101,CROCODILE RIVER MINE RETURN WATER DAM,1,A21J,25,42,22,27,47,48,BRITS,8,ZANDFONTEIN 447  PTN 206,JQ,NORTH WEST,NORTH WEST,1988,,,EARTHFILL,9,800,SIDE CHANNEL,185,7,,MINE RESIDUE DISPOSAL,EASTPLATS CROCODILE RIVER BARPLATS MINES LTD,FRASER ALEXANDER TAILINGS DESIGN,FRASER ALEXANDER TAILINGS DESIGN,4/16/2007,Small,Significant,2,5/28/2007,O,1/15/2008,1,12/30/2016
